fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,5.099026,6.389568,0.6793272418057341,0.6822246812577211,
0,1,3.3471217,4.504198,0.6860093441764149,0.694204769160849,
0,10,3.312914,4.5196395,0.6837492921576702,0.6920978941340631,
1,0.1,5.2963653,6.571217,0.6804539486505364,0.6825083292676706,
1,1,3.3613029,4.527191,0.6818853841180422,0.6901167959433985,
1,10,3.2947257,4.485494,0.6890881696099952,0.6970416416013345,
2,0.1,5.268768,6.5600834,0.6771776387315688,0.6786062646202741,
2,1,3.360648,4.5253778,0.6823840772195973,0.6903569697719919,
2,10,3.3366857,4.529927,0.6824866278266147,0.6924183350113293,
3,0.1,4.979959,6.2597013,0.6855692738655653,0.6882392671711424,
3,1,3.361514,4.5212803,0.6829300609168399,0.689136260940166,
3,10,3.3081474,4.5028944,0.6861694658470903,0.6926742169158276,
4,0.1,5.058599,6.3403172,0.6825334045235323,0.6850994555225705,
4,1,3.3558075,4.5301685,0.6819399575682631,0.6899331473879415,
4,10,3.3244696,4.507813,0.6853494043182393,0.6938958467121815,
,,,,,,517.1743650436401
